Date,Event_Type,Description,Category,Sport,Opponent,Location,Result,Year,Month,Weekday,Is_Weekend
2020-11-25,HOME_GAME,,Sports,BASKETBALL,NORTH CAROLINA CENTRAL,"Iowa City, Iowa",W 97-67,2020,11,Wednesday,False
2020-11-27,HOME_GAME,,Sports,BASKETBALL,SOUTHERN,"Iowa City, Iowa",W 103-76,2020,11,Friday,False
2020-12-03,HOME_GAME,,Sports,BASKETBALL,WESTERN ILLINOIS,"Iowa City, Iowa",W 99-58,2020,12,Thursday,False
2020-12-08,HOME_GAME,,Sports,BASKETBALL,#16 NORTH CAROLINA,"Iowa City, IA",W 93-80,2020,12,Tuesday,False
2020-12-11,HOME_GAME,,Sports,BASKETBALL,IOWA STATE,"Iowa City, Iowa",W 105-77,2020,12,Friday,False
2020-12-13,HOME_GAME,,Sports,BASKETBALL,NORTHERN ILLINOIS,"Iowa City, Iowa",W 106-53,2020,12,Sunday,True
2020-12-22,HOME_GAME,,Sports,BASKETBALL,PURDUE,"Iowa City, Iowa",W 70-55,2020,12,Tuesday,False
2020-12-29,HOME_GAME,,Sports,BASKETBALL,#19 NORTHWESTERN,"Iowa City, Iowa",W 87-72,2020,12,Tuesday,False
2021-01-10,HOME_GAME,,Sports,BASKETBALL,#16 MINNESOTA,"Iowa City, Iowa",W 86-71,2021,1,Sunday,True
2021-01-15,HOME_MATCH,,Sports,WRESTLING,#6 NEBRASKA,"Iowa City, Iowa",W 31-6,2021,1,Friday,False
2021-01-21,HOME_GAME,,Sports,BASKETBALL,INDIANA,"Iowa City, Iowa",L 69-81,2021,1,Thursday,False
2021-01-31,HOME_MATCH,,Sports,WRESTLING,ILLINOIS,"Iowa City, Iowa",W 36-6,2021,1,Sunday,True
2021-02-02,HOME_GAME,,Sports,BASKETBALL,MICHIGAN STATE,"Iowa City, Iowa",W 84-78,2021,2,Tuesday,False
2021-02-04,HOME_GAME,,Sports,BASKETBALL,#7 OHIO STATE,"Iowa City, Iowa",L 85-89,2021,2,Thursday,False
2021-02-10,HOME_GAME,,Sports,BASKETBALL,#25 RUTGERS,"Iowa City, Iowa",W 79-66,2021,2,Wednesday,False
2021-02-21,HOME_GAME,,Sports,BASKETBALL,PENN STATE,"Iowa City, Iowa",W 74-68,2021,2,Sunday,True
2021-03-04,HOME_GAME,,Sports,BASKETBALL,NEBRASKA,"Iowa City, Iowa",W 102-64,2021,3,Thursday,False
2021-03-07,HOME_GAME,,Sports,BASKETBALL,#25 WISCONSIN,"Iowa City, Iowa",W 77-73,2021,3,Sunday,True
2021-03-19,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",W 3-0,2021,3,Friday,False
2021-03-20,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",L 8-10,2021,3,Saturday,True
2021-03-21,HOME_GAME,,Sports,BASEBALL,NEBRASKA,"Iowa City, Iowa",L 8-13,2021,3,Sunday,True
2021-04-09,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",W 7-1,2021,4,Friday,False
2021-04-10,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",Postponed,2021,4,Saturday,True
2021-04-11,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",W 6-1,2021,4,Sunday,True
2021-04-11,HOME_GAME,,Sports,BASEBALL,MINNESOTA,"Iowa City, Iowa",W 18-0,2021,4,Sunday,True
2021-04-23,HOME_GAME,,Sports,BASEBALL,MARYLAND,"Iowa City, Iowa",W 6-2,2021,4,Friday,False
2021-04-24,HOME_GAME,,Sports,BASEBALL,MARYLAND,"Iowa City, Iowa",L 6-8,2021,4,Saturday,True
2021-04-25,HOME_GAME,,Sports,BASEBALL,NORTHWESTERN,"Iowa City, Iowa",W 15-4,2021,4,Sunday,True
2021-04-26,HOME_GAME,,Sports,BASEBALL,NORTHWESTERN,"Iowa City, Iowa",W 12-9,2021,4,Monday,False
2021-05-07,HOME_GAME,,Sports,BASEBALL,PENN STATE,"Iowa City, Iowa",W 4-2,2021,5,Friday,False
2021-05-08,HOME_GAME,,Sports,BASEBALL,PENN STATE,"Iowa City, Iowa",W 5-3,2021,5,Saturday,True
2021-05-08,HOME_GAME,,Sports,BASEBALL,PENN STATE,"Iowa City, Iowa",L 4-5,2021,5,Saturday,True
2021-05-14,HOME_GAME,,Sports,BASEBALL,ILLINOIS,"Iowa City, Iowa",W 5-4,2021,5,Friday,False
2021-05-15,HOME_GAME,,Sports,BASEBALL,ILLINOIS,"Iowa City, Iowa",L 1-14,2021,5,Saturday,True
2021-05-16,HOME_GAME,,Sports,BASEBALL,ILLINOIS,"Iowa City, Iowa",L 2-6,2021,5,Sunday,True
2021-08-23,CLASS_START,Opening of Classes,Academic,,,,,2021,8,Monday,False
2021-09-04,HOME_GAME,,Sports,FOOTBALL,#17 INDIANA,"Iowa City, Iowa",W 34-6,2021,9,Saturday,True
