# Iowa Hawkeyes Sports Events (2020-2025)
# Format: DATE | SPORT | OPPONENT | LOCATION | RESULT | EVENT_TYPE

# Baseball 2020-21 Season
2021-03-19 | BASEBALL | NEBRASKA | Iowa City, Iowa | W 3-0 | HOME_GAME
2021-03-20 | BASEBALL | NEBRASKA | Iowa City, Iowa | L 8-10 | HOME_GAME
2021-03-21 | BASEBALL | NEBRASKA | Iowa City, Iowa | L 8-13 | HOME_GAME
2021-04-09 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 7-1 | HOME_GAME
2021-04-10 | BASEBALL | MINNESOTA | Iowa City, Iowa | Postponed | HOME_GAME
2021-04-11 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 6-1 | HOME_GAME
2021-04-11 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 18-0 | HOME_GAME
2021-04-23 | BASEBALL | MARYLAND | Iowa City, Iowa | W 6-2 | HOME_GAME
2021-04-24 | BASEBALL | MARYLAND | Iowa City, Iowa | L 6-8 | HOME_GAME
2021-04-25 | BASEBALL | NORTHWESTERN | Iowa City, Iowa | W 15-4 | HOME_GAME
2021-04-26 | BASEBALL | NORTHWESTERN | Iowa City, Iowa | W 12-9 | HOME_GAME
2021-05-07 | BASEBALL | PENN STATE | Iowa City, Iowa | W 4-2 | HOME_GAME
2021-05-08 | BASEBALL | PENN STATE | Iowa City, Iowa | W 5-3 | HOME_GAME
2021-05-08 | BASEBALL | PENN STATE | Iowa City, Iowa | L 4-5 | HOME_GAME
2021-05-14 | BASEBALL | ILLINOIS | Iowa City, Iowa | W 5-4 | HOME_GAME
2021-05-15 | BASEBALL | ILLINOIS | Iowa City, Iowa | L 1-14 | HOME_GAME
2021-05-16 | BASEBALL | ILLINOIS | Iowa City, Iowa | L 2-6 | HOME_GAME

# Baseball 2021-22 Season
2022-03-01 | BASEBALL | LORAS COLLEGE | Iowa City, Iowa | L 1-3 | HOME_GAME
2022-03-02 | BASEBALL | CORNELL COLLEGE | Iowa City, Iowa | W 8-0 | HOME_GAME
2022-03-19 | BASEBALL | #12/17 TEXAS TECH | Iowa City, Iowa | L 3-11 | HOME_GAME
2022-03-20 | BASEBALL | #12/17 TEXAS TECH | Iowa City, Iowa | W 6-3 | HOME_GAME
2022-03-21 | BASEBALL | ST. THOMAS | Iowa City, Iowa | W 6-5 | HOME_GAME
2022-03-25 | BASEBALL | CENTRAL MICHIGAN | Iowa City, Iowa | W 7-4 | HOME_GAME
2022-03-26 | BASEBALL | CENTRAL MICHIGAN | Iowa City, Iowa | L 1-10 | HOME_GAME
2022-03-27 | BASEBALL | CENTRAL MICHIGAN | Iowa City, Iowa | W 4-2 | HOME_GAME
2022-04-09 | BASEBALL | ILLINOIS | Iowa City, Iowa | W 4-2 | HOME_GAME
2022-04-09 | BASEBALL | ILLINOIS | Iowa City, Iowa | L 5-7 | HOME_GAME
2022-04-10 | BASEBALL | ILLINOIS | Iowa City, Iowa | L 5-9 | HOME_GAME
2022-04-15 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 9-3 | HOME_GAME
2022-04-16 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 2-1 | HOME_GAME
2022-04-17 | BASEBALL | MINNESOTA | Iowa City, Iowa | W 9-3 | HOME_GAME
2022-04-19 | BASEBALL | BRADLEY | Iowa City, Iowa | W 15-8 | HOME_GAME
2022-04-26 | BASEBALL | WESTERN ILLINOIS | Iowa City, Iowa | W 11-1 | HOME_GAME
2022-05-03 | BASEBALL | ILLINOIS STATE | Iowa City, Iowa | L 2-3 | HOME_GAME
2022-05-06 | BASEBALL | PURDUE | Iowa City, Iowa | W 5-2 | HOME_GAME
2022-05-07 | BASEBALL | PURDUE | Iowa City, Iowa | L 6-10 | HOME_GAME
2022-05-08 | BASEBALL | PURDUE | Iowa City, Iowa | W 9-1 | HOME_GAME
2022-05-19 | BASEBALL | INDIANA | Iowa City, Iowa | W 30-16 | HOME_GAME
2022-05-20 | BASEBALL | INDIANA | Iowa City, Iowa | W 12-0 | HOME_GAME
2022-05-21 | BASEBALL | INDIANA | Iowa City, Iowa | W 2-1 | HOME_GAME

# Baseball 2022-23 Season
2023-02-28 | BASEBALL | LORAS | Iowa City, IA | W 9-2 | HOME_GAME
2023-03-07 | BASEBALL | COE | Iowa City, IA | W 8-2 | HOME_GAME
2023-03-15 | BASEBALL | ST. THOMAS | Iowa City, IA | W 10-1 | HOME_GAME
2023-03-19 | BASEBALL | SOUTH DAKOTA STATE | Iowa City, IA | W 12-2 | HOME_GAME
2023-03-19 | BASEBALL | SOUTH DAKOTA STATE | Iowa City, IA | W 5-3 | HOME_GAME
2023-03-22 | BASEBALL | GRAND VIEW | Iowa City, IA | W 12-1 | HOME_GAME
2023-03-24 | BASEBALL | WESTERN MICHIGAN | Iowa City, IA | W 9-3 | HOME_GAME
2023-03-25 | BASEBALL | WESTERN MICHIGAN | Iowa City, IA | W 13-8 | HOME_GAME
2023-03-25 | BASEBALL | WESTERN MICHIGAN | Iowa City, IA | W 21-6 | HOME_GAME
2023-03-31 | BASEBALL | MARYLAND | Iowa City, IA | L 9-10 | HOME_GAME
2023-04-01 | BASEBALL | MARYLAND | Iowa City, IA | L 4-7 | HOME_GAME
2023-04-02 | BASEBALL | MARYLAND | Iowa City, IA | W 12-8 | HOME_GAME
