LotNumber,month,avg_peak,max_peak,min_peak,std_peak,sports_events,football_games,finals_days
3,5,37.0,44.0,24.0,8.3,3,0,2
3,6,38.83,47.0,24.0,9.15,0,0,0
3,7,40.06,47.0,26.0,8.91,0,0,0
3,8,37.9,47.0,25.0,9.65,0,0,0
3,9,39.37,47.0,25.0,9.37,0,0,0
3,10,39.35,47.0,25.0,9.28,0,0,0
3,11,37.67,47.0,24.0,9.9,0,0,0
3,12,28.74,36.0,14.0,9.41,0,0,2
6,5,47.42,52.0,38.0,5.29,3,0,2
6,6,47.63,54.0,37.0,6.0,0,0,0
6,7,45.81,50.0,37.0,5.37,0,0,0
6,8,44.0,49.0,35.0,5.88,0,0,0
6,9,44.77,49.0,35.0,5.56,0,0,0
6,10,44.48,49.0,35.0,5.56,0,0,0
6,11,43.57,49.0,35.0,5.94,0,0,0
6,12,43.94,49.0,34.0,6.06,0,0,2
10,5,91.32,104.0,74.0,12.7,3,0,2
10,6,89.33,101.0,74.0,11.57,0,0,0
10,7,91.61,101.0,76.0,11.37,0,0,0
10,8,88.81,101.0,75.0,11.88,0,0,0
10,9,90.7,101.0,75.0,11.77,0,0,0
10,10,85.71,100.0,75.0,8.16,0,0,0
10,11,88.3,97.0,75.0,7.55,0,0,0
10,12,91.48,98.0,82.0,6.54,0,0,2
11,5,90.48,97.0,84.0,2.87,3,0,2
11,6,90.17,94.0,85.0,3.44,0,0,0
11,7,90.68,94.0,85.0,3.48,0,0,0
11,8,88.87,93.0,83.0,3.64,0,0,0
11,9,88.97,92.0,83.0,3.41,0,0,0
11,10,88.58,92.0,83.0,3.18,0,0,0
11,11,91.73,97.0,83.0,4.14,0,0,0
11,12,93.71,98.0,86.0,3.88,0,0,2
13,5,45.23,50.0,36.0,4.61,3,0,2
13,6,45.4,51.0,35.0,5.04,0,0,0
13,7,45.97,50.0,38.0,4.62,0,0,0
13,8,43.65,48.0,35.0,5.36,0,0,0
13,9,44.17,48.0,35.0,4.95,0,0,0
13,10,43.81,48.0,35.0,5.06,0,0,0
13,11,42.9,48.0,35.0,5.4,0,0,0
13,12,44.81,49.0,34.0,5.2,0,0,2
30,5,75.0,80.0,72.0,2.0,3,0,2
30,6,80.17,83.0,71.0,4.01,0,0,0
30,7,82.45,83.0,80.0,0.96,0,0,0
30,8,81.55,82.0,79.0,0.77,0,0,0
30,9,81.77,82.0,80.0,0.5,0,0,0
30,10,81.61,82.0,80.0,0.72,0,0,0
30,11,81.53,82.0,80.0,0.78,0,0,0
30,12,75.29,77.0,71.0,1.35,0,0,2
40,5,92.48,102.0,81.0,9.37,3,0,2
40,6,93.73,105.0,81.0,10.67,0,0,0
40,7,96.0,105.0,82.0,10.79,0,0,0
40,8,92.52,104.0,81.0,10.89,0,0,0
40,9,94.17,103.0,81.0,10.67,0,0,0
40,10,91.42,103.0,81.0,8.83,0,0,0
40,11,90.4,99.0,81.0,8.62,0,0,0
40,12,93.9,103.0,83.0,8.3,0,0,2
50,5,84.35,87.0,82.0,1.08,3,0,2
50,6,92.47,99.0,82.0,4.99,0,0,0
50,7,97.9,99.0,96.0,1.11,0,0,0
50,8,97.42,99.0,94.0,1.29,0,0,0
50,9,97.77,99.0,95.0,1.01,0,0,0
50,10,97.29,98.0,95.0,1.01,0,0,0
50,11,97.2,98.0,95.0,1.1,0,0,0
50,12,92.0,93.0,88.0,1.29,0,0,2
70,5,96.58,105.0,82.0,8.52,3,0,2
70,6,97.9,109.0,85.0,9.65,0,0,0
70,7,100.19,109.0,87.0,9.41,0,0,0
70,8,96.94,107.0,85.0,9.82,0,0,0
70,9,98.57,107.0,85.0,9.71,0,0,0
70,10,95.94,106.0,85.0,7.74,0,0,0
70,11,99.17,108.0,85.0,8.3,0,0,0
70,12,103.55,113.0,91.0,7.98,0,0,2
80,5,78.77,84.0,69.0,5.0,3,0,2
80,6,83.43,99.0,70.0,7.87,0,0,0
80,7,94.52,99.0,85.0,5.37,0,0,0
80,8,91.26,97.0,82.0,5.79,0,0,0
80,9,92.3,97.0,83.0,5.48,0,0,0
80,10,92.19,97.0,83.0,5.42,0,0,0
80,11,91.83,98.0,83.0,6.02,0,0,0
80,12,98.23,113.0,84.0,8.62,0,0,2
