date,total_transactions,unique_lots_used,avg_entry_hour,is_weekend,primary_academic_intensity,primary_break_type,has_finals,has_commencement,has_midterms,temp_max,temp_min,precipitation,bad_weather,weather_severity,year,month,quarter,day_of_week,has_event,has_sports_event
2021-01-01,7,2,12.43,False,low,winter_break,False,False,False,-2.2,-9.8,5.1,True,6,2021,1,1,Friday,False,False
2021-01-02,800,13,11.84,True,low,winter_break,False,False,False,-6.2,-12.3,0.0,True,3,2021,1,1,Saturday,False,False
2021-01-03,871,16,11.37,True,low,winter_break,False,False,False,-6.0,-16.0,0.0,True,3,2021,1,1,Sunday,False,False
2021-01-04,1811,25,10.77,False,low,winter_break,False,False,False,-1.0,-11.1,0.1,True,3,2021,1,1,Monday,False,False
2021-01-05,1933,25,10.69,False,low,winter_break,False,False,False,-3.4,-10.8,0.0,True,3,2021,1,1,Tuesday,False,False
2021-01-06,1951,25,11.14,False,low,winter_break,False,False,False,-2.7,-8.0,0.0,True,3,2021,1,1,Wednesday,False,False
2021-01-07,1955,25,10.88,False,low,winter_break,False,False,False,-0.6,-3.9,0.0,True,3,2021,1,1,Thursday,False,False
2021-01-08,1842,25,10.82,False,low,winter_break,False,False,False,-2.3,-6.4,0.0,True,3,2021,1,1,Friday,False,False
2021-01-09,1015,19,11.11,True,low,winter_break,False,False,False,-3.6,-8.1,0.0,True,3,2021,1,1,Saturday,False,False
2021-01-10,894,19,11.33,True,low,winter_break,False,False,False,-4.0,-8.4,0.0,True,3,2021,1,1,Sunday,True,True
2021-01-11,1931,25,10.67,False,low,winter_break,False,False,False,0.5,-5.2,0.0,True,3,2021,1,1,Monday,False,False
2021-01-12,1979,25,10.78,False,low,winter_break,False,False,False,0.4,-6.2,0.0,True,3,2021,1,1,Tuesday,False,False
2021-01-13,2039,25,10.92,False,low,winter_break,False,False,False,2.3,-0.8,0.1,True,3,2021,1,1,Wednesday,False,False
2021-01-14,2038,25,10.7,False,low,winter_break,False,False,False,2.6,-2.8,5.0,True,9,2021,1,1,Thursday,False,False
2021-01-15,1951,25,10.57,False,low,winter_break,False,False,False,0.6,-2.6,3.3,True,6,2021,1,1,Friday,True,True
2021-01-16,984,20,10.98,True,low,none,False,False,False,0.8,-3.5,0.9,True,7,2021,1,1,Saturday,False,False
2021-01-17,882,19,10.64,True,low,none,False,False,False,-3.2,-5.1,2.7,True,6,2021,1,1,Sunday,False,False
2021-01-18,7,2,8.14,False,medium,none,False,False,False,-2.4,-10.2,0.0,True,3,2021,1,1,Monday,False,False
2021-01-19,1885,25,11.0,False,medium,none,False,False,False,0.6,-14.4,0.3,True,7,2021,1,1,Tuesday,False,False
2021-01-20,2049,25,10.83,False,medium,none,False,False,False,3.0,-17.7,0.0,True,4,2021,1,1,Wednesday,False,False
2021-01-21,2056,25,10.68,False,medium,none,False,False,False,2.5,-2.8,0.0,True,4,2021,1,1,Thursday,True,True
2021-01-22,2007,25,10.82,False,medium,none,False,False,False,-3.8,-13.4,0.0,True,4,2021,1,1,Friday,False,False
2021-01-23,991,18,10.99,True,low,none,False,False,False,-3.3,-20.5,0.6,True,6,2021,1,1,Saturday,False,False
2021-01-24,942,14,11.45,True,low,none,False,False,False,-0.5,-3.1,1.8,True,6,2021,1,1,Sunday,False,False
2021-01-25,1922,23,10.09,False,medium,none,False,False,False,-2.6,-5.2,8.0,True,7,2021,1,1,Monday,False,False
2021-01-26,1671,25,11.1,False,medium,none,False,False,False,-4.1,-9.8,6.9,True,7,2021,1,1,Tuesday,False,False
2021-01-27,2123,25,10.6,False,medium,none,False,False,False,-8.2,-13.5,0.0,True,3,2021,1,1,Wednesday,False,False
2021-01-28,2110,25,10.48,False,medium,none,False,False,False,-8.6,-19.3,0.0,True,3,2021,1,1,Thursday,False,False
2021-01-29,1990,25,10.56,False,medium,none,False,False,False,-2.3,-9.7,0.0,True,3,2021,1,1,Friday,False,False
2021-01-30,976,19,10.75,True,low,none,False,False,False,1.4,-2.9,14.2,True,10,2021,1,1,Saturday,False,False
2021-01-31,877,19,11.55,True,low,none,False,False,False,0.6,-1.4,6.1,True,7,2021,1,1,Sunday,True,True
2021-02-01,1975,25,10.51,False,medium,none,False,False,False,-1.3,-6.5,0.0,True,4,2021,2,1,Monday,False,False
2021-02-02,2139,25,10.52,False,medium,none,False,False,False,-4.7,-13.0,0.0,True,3,2021,2,1,Tuesday,True,True
