Date,Event_Category,Event_Type,Sport,Opponent,Description,Weekday,Parking_Transactions,Is_Weekend,impact_level
2020-11-25,Sports,HOME_GAME,BASKETBALL,NORTH CAROLINA CENTRAL,,Wednesday,0,False,
2020-11-27,Sports,HOME_GAME,BASKETBALL,SOUTHERN,,Friday,0,False,
2020-12-03,Sports,HOME_GAME,BASKETBALL,WESTERN ILLINOIS,,Thursday,0,False,
2020-12-08,Sports,HOME_GAME,BASKETBALL,#16 NORTH CAROLINA,,Tuesday,0,False,
2020-12-11,Sports,HOME_GAME,BASKETBALL,IOWA STATE,,Friday,0,False,
2020-12-13,Sports,HOME_GAME,BASKETBALL,NORTHERN ILLINOIS,,Sunday,0,True,
2020-12-22,Sports,HOME_GAME,BASKETBALL,PURDUE,,Tuesday,0,False,
2020-12-29,Sports,HOME_GAME,BASKETBALL,#19 NORTHWESTERN,,Tuesday,0,False,
2021-01-10,Sports,HOME_GAME,BASKETBALL,#16 MINNESOTA,,Sunday,894,True,Low
2021-01-15,Sports,HOME_MATCH,WRESTLING,#6 NEBRASKA,,Friday,1951,False,Low
2021-01-21,Sports,HOME_GAME,BASKETBALL,INDIANA,,Thursday,2056,False,Low
2021-01-31,Sports,HOME_MATCH,WRESTLING,ILLINOIS,,Sunday,877,True,Low
2021-02-02,Sports,HOME_GAME,BASKETBALL,MICHIGAN STATE,,Tuesday,2139,False,Normal
2021-02-04,Sports,HOME_GAME,BASKETBALL,#7 OHIO STATE,,Thursday,1687,False,Low
2021-02-10,Sports,HOME_GAME,BASKETBALL,#25 RUTGERS,,Wednesday,2057,False,Low
2021-02-21,Sports,HOME_GAME,BASKETBALL,PENN STATE,,Sunday,939,True,Low
2021-03-04,Sports,HOME_GAME,BASKETBALL,NEBRASKA,,Thursday,2030,False,Low
2021-03-07,Sports,HOME_GAME,BASKETBALL,#25 WISCONSIN,,Sunday,916,True,Low
2021-03-19,Sports,HOME_GAME,BASEBALL,NEBRASKA,,Friday,1769,False,Low
2021-03-20,Sports,HOME_GAME,BASEBALL,NEBRASKA,,Saturday,911,True,Low
2021-03-21,Sports,HOME_GAME,BASEBALL,NEBRASKA,,Sunday,969,True,Low
2021-04-09,Sports,HOME_GAME,BASEBALL,MINNESOTA,,Friday,1980,False,Low
2021-04-10,Sports,HOME_GAME,BASEBALL,MINNESOTA,,Saturday,1034,True,Low
2021-04-11,Sports,HOME_GAME,BASEBALL,MINNESOTA,,Sunday,968,True,Low
2021-04-11,Sports,HOME_GAME,BASEBALL,MINNESOTA,,Sunday,968,True,Low
2021-04-23,Sports,HOME_GAME,BASEBALL,MARYLAND,,Friday,1940,False,Low
2021-04-24,Sports,HOME_GAME,BASEBALL,MARYLAND,,Saturday,1015,True,Low
2021-04-25,Sports,HOME_GAME,BASEBALL,NORTHWESTERN,,Sunday,961,True,Low
2021-04-26,Sports,HOME_GAME,BASEBALL,NORTHWESTERN,,Monday,2011,False,Low
2021-05-07,Sports,HOME_GAME,BASEBALL,PENN STATE,,Friday,1982,False,Low
2021-05-08,Sports,HOME_GAME,BASEBALL,PENN STATE,,Saturday,943,True,Low
2021-05-08,Sports,HOME_GAME,BASEBALL,PENN STATE,,Saturday,943,True,Low
2021-05-14,Sports,HOME_GAME,BASEBALL,ILLINOIS,,Friday,1895,False,Low
2021-05-15,Sports,HOME_GAME,BASEBALL,ILLINOIS,,Saturday,976,True,Low
2021-05-16,Sports,HOME_GAME,BASEBALL,ILLINOIS,,Sunday,900,True,Low
2021-08-23,Academic,CLASS_START,,,Opening of Classes,Monday,2469,False,Normal
2021-09-04,Sports,HOME_GAME,FOOTBALL,#17 INDIANA,,Saturday,1087,True,Low
2021-09-06,Academic,HOLIDAY,,,Labor Day - University Holiday--No Classes; Offices Closed,Monday,41,False,Low
2021-09-18,Sports,HOME_GAME,FOOTBALL,KENT STATE,,Saturday,1096,True,Low
2021-09-25,Sports,HOME_GAME,FOOTBALL,COLORADO STATE,,Saturday,1077,True,Low
2021-10-09,Sports,HOME_GAME,FOOTBALL,#4 PENN STATE,,Saturday,1142,True,Low
2021-10-16,Sports,HOME_GAME,FOOTBALL,PURDUE,,Saturday,1138,True,Low
2021-10-31,Sports,HOME_GAME,FOOTBALL,NORTHWESTERN,,Sunday,1075,True,Low
2021-11-05,Sports,HOME_GAME,BASKETBALL,SLIPPERY ROCK,,Friday,2485,False,Normal
2021-11-07,Sports,HOME_GAME,FOOTBALL,MICHIGAN STATE,,Sunday,1171,True,Low
2021-11-09,Sports,HOME_GAME,BASKETBALL,LONGWOOD,,Tuesday,2593,False,Normal
