LotNumber,hour,transactions,time_period
3,0,139,Night
3,1,594,Night
3,2,475,Night
3,3,4541,Night
3,4,351,Night
3,5,1474,Night
3,6,9543,Morning
3,7,26341,Morning
3,8,40940,Morning
3,9,25304,Morning
3,10,16388,Morning
3,11,13240,Morning
3,12,13546,Afternoon
3,13,11856,Afternoon
3,14,8689,Afternoon
3,15,8050,Afternoon
3,16,14085,Afternoon
3,17,7851,Afternoon
3,18,7148,Evening
3,19,4985,Evening
3,20,3262,Evening
3,21,2692,Evening
3,22,937,Evening
3,23,321,Evening
4,0,6,Night
4,1,4,Night
4,3,8,Night
4,4,15,Night
4,5,1027,Night
4,6,5946,Morning
4,7,9204,Morning
4,8,8528,Morning
4,9,1708,Morning
4,10,1404,Morning
4,11,1568,Morning
4,12,4392,Afternoon
4,13,2956,Afternoon
4,14,2863,Afternoon
4,15,525,Afternoon
4,16,260,Afternoon
4,17,130,Afternoon
4,18,53,Evening
4,19,40,Evening
4,20,31,Evening
4,21,12,Evening
4,22,8,Evening
4,23,10,Evening
6,0,584,Night
6,1,465,Night
6,2,573,Night
6,3,2661,Night
6,4,2189,Night
6,5,10128,Night
6,6,59019,Morning
6,7,27697,Morning
6,8,6394,Morning
6,9,3568,Morning
6,10,4727,Morning
6,11,3656,Morning
6,12,5337,Afternoon
6,13,8338,Afternoon
6,14,16445,Afternoon
6,15,6884,Afternoon
6,16,14028,Afternoon
6,17,10811,Afternoon
6,18,22283,Evening
6,19,6683,Evening
6,20,4298,Evening
6,21,2429,Evening
6,22,5510,Evening
6,23,1362,Evening
8,0,3,Night
8,3,5,Night
8,4,2,Night
8,5,31,Night
8,6,1492,Morning
8,7,2057,Morning
8,8,5363,Morning
8,9,2327,Morning
8,10,1622,Morning
8,11,802,Morning
8,12,1154,Afternoon
8,13,1194,Afternoon
8,14,733,Afternoon
8,15,434,Afternoon
8,16,244,Afternoon
8,17,163,Afternoon
8,18,119,Evening
8,19,64,Evening
8,20,42,Evening
8,21,15,Evening
8,22,6,Evening
8,23,7,Evening
9,0,28,Night
9,1,25,Night
9,2,11,Night
9,3,9,Night
9,4,6,Night
9,5,15,Night
9,6,288,Morning
9,7,3137,Morning
9,8,5945,Morning
9,9,1946,Morning
9,10,1148,Morning
9,11,704,Morning
9,12,1033,Afternoon
9,13,1099,Afternoon
9,14,852,Afternoon
9,15,576,Afternoon
