LotNumber,total_transactions,avg_entry_hour,weekend_pct,peak_intensity_days,bad_weather_pct,unique_access_groups,first_transaction,last_transaction,utilization_category
10,555897,9.82,0.12,8451,0.65,22,2021-01-02 06:49:17.000000000,2025-04-29 22:23:43.667000000,High
11,520485,10.32,0.12,7653,0.66,10,2021-01-02 06:11:48.000000000,2025-04-29 23:20:33.377000000,High
70,441836,13.55,0.36,4644,0.66,13,2021-01-02 06:19:01.000000000,2025-04-29 23:23:28.403000000,High
80,437210,10.37,0.16,5998,0.65,15,2021-01-02 06:11:49.000000000,2025-04-29 23:30:30.567000000,High
50,337506,12.84,0.31,3700,0.64,17,2021-01-01 12:17:24.000000000,2025-04-29 23:49:54.650000000,Medium
30,299084,11.92,0.23,3827,0.66,16,2021-01-02 06:12:28.000000000,2025-04-29 23:44:00.457000000,Medium
6,226069,11.14,0.19,3084,0.65,9,2021-01-02 06:33:32.000000000,2025-04-29 22:48:59.663000000,Medium
3,222752,10.87,0.08,3355,0.66,10,2021-01-02 08:39:17.000000000,2025-04-29 23:12:11.953000000,Medium
40,177341,8.62,0.0,2824,0.66,4,2021-01-04 07:30:49.000000000,2025-04-29 16:16:46.877000000,Low
13,153026,9.57,0.09,2367,0.65,8,2021-01-02 08:59:17.000000000,2025-04-29 21:35:30.993000000,Low
20,127234,10.07,0.08,2124,0.66,10,2021-01-02 06:47:02.000000000,2025-04-29 23:27:02.717000000,Low
14,80093,9.36,0.04,1615,0.69,9,2021-01-03 16:54:17.000000000,2025-04-29 21:46:27.720000000,Low
21,77668,9.73,0.0,1359,0.66,2,2021-01-01 11:34:18.000000000,2025-04-29 16:16:04.937000000,Low
24,61887,9.45,0.04,1040,0.64,3,2021-01-04 06:34:20.000000000,2025-04-29 19:45:38.103000000,Low
60,53832,13.62,0.23,917,0.67,9,2021-01-02 08:45:34.000000000,2025-04-29 22:10:07.110000000,Low
18,44369,9.25,0.02,825,0.65,3,2021-01-04 06:39:39.000000000,2025-04-29 17:01:56.903000000,Low
4,40698,9.06,0.01,693,0.65,2,2021-01-04 07:26:02.000000000,2025-04-29 22:21:41.860000000,Low
99,40389,9.14,0.06,588,0.66,6,2021-01-02 08:49:42.000000000,2025-04-29 18:07:29.760000000,Low
34,39298,9.79,0.05,590,0.66,3,2021-01-04 06:59:07.000000000,2025-04-29 19:55:49.663000000,Low
97,37044,10.67,0.04,505,0.65,1,2021-01-02 06:27:12.000000000,2025-04-29 22:55:41.263000000,Low
56,32100,14.28,0.23,252,0.69,2,2021-01-04 07:12:07.000000000,2025-04-29 23:31:22.970000000,Low
33,27780,10.55,0.05,535,0.63,9,2021-01-03 18:38:38.000000000,2025-04-29 20:42:28.990000000,Low
51,25781,9.79,0.0,534,0.64,3,2021-01-04 10:38:35.000000000,2025-02-28 15:38:19.060000000,Low
9,18351,9.94,0.05,310,0.63,4,2021-01-03 11:22:46.000000000,2025-04-29 18:12:45.983000000,Low
8,17879,9.51,0.05,304,0.67,2,2021-01-04 08:56:42.000000000,2025-04-29 16:35:38.420000000,Low
90,4617,9.08,0.07,0,0.77,12,2025-02-25 14:03:11.623000000,2025-04-29 19:53:33.823000000,Low
94,440,9.77,0.05,0,0.87,7,2025-02-28 15:36:15.773000000,2025-04-29 20:38:17.747000000,Low
38,9,9.56,0.0,0,0.67,1,2022-04-11 14:41:20.173333300,2023-08-30 08:53:03.816666700,Low
65,9,8.33,0.0,0,0.89,1,2021-02-23 08:10:31.000000000,2023-02-06 10:29:57.630000000,Low
