LotNumber,total_transactions,avg_entry_hour,weekend_pct,peak_intensity_days,bad_weather_pct,unique_access_groups,first_transaction,last_transaction
10,555897,9.82,0.12,8451,0.65,22,2021-01-02 06:49:17.000000000,2025-04-29 22:23:43.667000000
11,520485,10.32,0.12,7653,0.66,10,2021-01-02 06:11:48.000000000,2025-04-29 23:20:33.377000000
70,441836,13.55,0.36,4644,0.66,13,2021-01-02 06:19:01.000000000,2025-04-29 23:23:28.403000000
80,437210,10.37,0.16,5998,0.65,15,2021-01-02 06:11:49.000000000,2025-04-29 23:30:30.567000000
50,337506,12.84,0.31,3700,0.64,17,2021-01-01 12:17:24.000000000,2025-04-29 23:49:54.650000000
30,299084,11.92,0.23,3827,0.66,16,2021-01-02 06:12:28.000000000,2025-04-29 23:44:00.457000000
6,226069,11.14,0.19,3084,0.65,9,2021-01-02 06:33:32.000000000,2025-04-29 22:48:59.663000000
3,222752,10.87,0.08,3355,0.66,10,2021-01-02 08:39:17.000000000,2025-04-29 23:12:11.953000000
40,177341,8.62,0.0,2824,0.66,4,2021-01-04 07:30:49.000000000,2025-04-29 16:16:46.877000000
13,153026,9.57,0.09,2367,0.65,8,2021-01-02 08:59:17.000000000,2025-04-29 21:35:30.993000000
20,127234,10.07,0.08,2124,0.66,10,2021-01-02 06:47:02.000000000,2025-04-29 23:27:02.717000000
14,80093,9.36,0.04,1615,0.69,9,2021-01-03 16:54:17.000000000,2025-04-29 21:46:27.720000000
21,77668,9.73,0.0,1359,0.66,2,2021-01-01 11:34:18.000000000,2025-04-29 16:16:04.937000000
24,61887,9.45,0.04,1040,0.64,3,2021-01-04 06:34:20.000000000,2025-04-29 19:45:38.103000000
60,53832,13.62,0.23,917,0.67,9,2021-01-02 08:45:34.000000000,2025-04-29 22:10:07.110000000
